id,migration_name,checksum,started_at,finished_at,applied_steps_count,rolled_back_at,logs
"668e00c0-3c3f-43af-8d92-87ca7eb7a81d","20251109171039_init","e6c346e5f644e2ff6a88a10a383ac0b9967f6343c04e3337cbcae6cb39c87f98","2026-04-06 23:53:36.144805+00","2026-04-06 23:53:37.043641+00","1",,
"c6911945-8b84-41bd-9f3d-02d2d4567eb0","20251111025243_add_roles_to_user","26913a1bb949158906dbc2ddc0427c8ccfc056ad2cce91dca55f9c3fc48f2dd2","2026-04-06 23:53:37.401507+00","2026-04-06 23:53:38.299498+00","1",,
"cde09e51-84f2-4c88-be81-24731583087b","20251114002524_full_schema_setup","f8df64541c83892485f67acb3da33d61128ae1af88ed10941509d5f735d55ab7","2026-04-06 23:53:38.655984+00","2026-04-06 23:53:39.672328+00","1",,
"6bc19554-6d29-4f21-b8a9-d06cb6442885","20251116051529_expand_schema_phase4","8490a8f83d216d034b00cb9e946398cdb9a0fd60ebfff2a6eaed24350be0a30c","2026-04-06 23:53:40.034087+00","2026-04-06 23:53:41.062296+00","1",,
"62739b66-47ab-4e59-bd46-d746fcf600b3","20251119155233_phase5_grading_models","091a583052027415957b6a8f92a199f94e9a01b27b0dbdade54c25d038504a31","2026-04-06 23:53:41.422678+00","2026-04-06 23:53:42.35378+00","1",,
"c1593b64-426b-43d1-a61f-8c3d8bed8e80","20251121224622_add_unique_constraints","9b6e5354501bc0e7d1ab2868ce7d360896a5429f41f311d329884e0384e1e713","2026-04-06 23:53:42.703779+00","2026-04-06 23:53:43.594226+00","1",,
"d7141dcb-9631-4bcf-8139-6882e3ad30ac","20251226120540_add_audit_log_model","977f7c419aa811cca6a12d2caad692ca9073534d246a7c2f8dc715cbc9718869","2026-04-06 23:53:43.934878+00","2026-04-06 23:53:45.042106+00","1",,
"150b4704-e4d2-4ede-9e05-29e017eccff7","20260101085512_make_auditlog_metadata_optional","bd1044a6ab47a78eebd17ee7aea77da9e2126558939a4750886644296675131d","2026-04-06 23:53:45.390763+00","2026-04-06 23:53:46.665717+00","1",,
"81da451d-3a69-4fce-8bdb-2983d2d15150","20260103114421_add_must_change_password","075958601977eb693a18d7b65ade8b64944ec35fbe82ed5f635042be5e66d8da","2026-04-06 23:53:47.094036+00","2026-04-06 23:53:47.993856+00","1",,
"5863d99d-386b-4d18-82e6-f0f17a200294","20260119054652_class_subject","355b758ec64bba7b3eca899074555a19261415e7301020014f8b5e9875208f2b","2026-04-06 23:53:48.333731+00","2026-04-06 23:53:49.233557+00","1",,
